epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,3023.25,0.77587,0.49946,0.86875,0.99231,0.98305,0.99394,0.75125,0.92114,0.4847,0.93044,0.003763,0.003763,0.003763
65,3073.45,0.79395,0.49619,0.86094,1,0.9474,0.99222,0.77633,0.8905,0.48165,0.91862,0.003664,0.003664,0.003664
66,3124.08,0.71888,0.48431,0.85397,0.99831,0.9322,0.99005,0.70603,1.00882,0.50238,0.94279,0.003565,0.003565,0.003565
67,3174.28,0.75138,0.4784,0.84377,1,0.94722,0.991,0.73752,0.94623,0.49343,0.93454,0.003466,0.003466,0.003466
68,3224.77,0.75538,0.47959,0.84401,1,0.94748,0.9885,0.76214,0.90285,0.48786,0.92489,0.003367,0.003367,0.003367
69,3275.09,0.74707,0.48515,0.85429,1,0.94767,0.9874,0.76011,0.92438,0.4857,0.92852,0.003268,0.003268,0.003268
70,3325.57,0.73513,0.48572,0.84428,1,0.94803,0.98666,0.74237,0.95796,0.47981,0.93523,0.003169,0.003169,0.003169
71,3376.56,0.71777,0.48886,0.84726,1,0.94822,0.98446,0.73426,0.99547,0.47445,0.94683,0.00307,0.00307,0.00307
72,3427.09,0.77849,0.48906,0.86768,1,0.94883,0.98368,0.76337,0.89778,0.48642,0.92963,0.002971,0.002971,0.002971
73,3477.41,0.71197,0.47001,0.83472,0.99911,0.94915,0.9845,0.74602,0.92643,0.49558,0.94118,0.002872,0.002872,0.002872
74,3527.89,0.73362,0.46252,0.85436,0.99949,0.94915,0.98511,0.73865,0.97094,0.47906,0.94759,0.002773,0.002773,0.002773
75,3576.04,0.7265,0.46822,0.8538,0.98288,0.97329,0.98611,0.75472,0.91253,0.46359,0.93672,0.002674,0.002674,0.002674
76,3624.51,0.70031,0.4668,0.85997,0.97448,0.98305,0.98808,0.74625,0.93445,0.47589,0.93169,0.002575,0.002575,0.002575
77,3673.15,0.69277,0.45791,0.84423,0.97746,0.98305,0.98989,0.7586,0.91367,0.45909,0.93128,0.002476,0.002476,0.002476
78,3719.09,0.66789,0.45019,0.84746,0.97955,0.98305,0.99189,0.74776,0.95201,0.46595,0.93543,0.002377,0.002377,0.002377
79,3764.02,0.708,0.4567,0.8451,0.97766,0.98305,0.9924,0.74422,0.95717,0.47004,0.93085,0.002278,0.002278,0.002278
80,3809.45,0.68797,0.4481,0.84707,0.97761,0.98305,0.99275,0.76183,0.93494,0.46988,0.92519,0.002179,0.002179,0.002179
81,3855.25,0.67519,0.44052,0.83641,0.97898,0.98305,0.99326,0.75376,0.95156,0.45883,0.93617,0.00208,0.00208,0.00208
82,3900.5,0.67421,0.43316,0.83967,0.979,0.98305,0.993,0.73975,0.95725,0.46321,0.92835,0.001981,0.001981,0.001981
83,3945.76,0.65259,0.43735,0.83232,0.97954,0.98305,0.99313,0.75688,0.89885,0.45358,0.91966,0.001882,0.001882,0.001882
84,3991.53,0.64812,0.42561,0.83791,0.97855,0.98305,0.99313,0.74593,0.92836,0.43421,0.92298,0.001783,0.001783,0.001783
85,4036.62,0.69419,0.44791,0.82796,0.9764,0.98305,0.99287,0.73606,0.95678,0.46013,0.92383,0.001684,0.001684,0.001684
